building_id,count,mean,std,min,25%,50%,75%,max
0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,217.0,0.3120271889400922,2.8527869440912874,0.0,0.0,0.0,0.0,35.2201
2,217.0,0.018872350230414746,0.16137430026961047,0.0,0.0,0.0,0.0,1.6381
3,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,217.0,0.007863594470046082,0.08335251896914365,0.0,0.0,0.0,0.0,1.0238
6,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,217.0,0.5410138248847927,7.969631298967014,0.0,0.0,0.0,0.0,117.4
12,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,217.0,1.7038350230414745,12.455732637973373,0.0,0.0,0.0,0.0,105.66
21,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29.0,19.91193103448276,74.45609361272255,0.0,0.0,0.0,0.0,288.723
30,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,217.0,49.12357235023042,8.052500726647459,38.9059,43.0013,47.9157,53.2397,86.4121
47,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,217.0,1.2801935483870965,9.512819529088823,0.0,0.0,0.0,0.0,83.9549
53,198.0,46.54233333333333,178.29332671848707,0.0,0.0,0.0,0.0,999.268
54,217.0,7.297419354838708,29.04654674818719,0.0,0.0,0.0,0.0,135.42
55,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,217.0,0.2151479262672811,1.830581425421947,0.0,0.0,0.0,0.0,17.4735
71,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,217.0,0.7203055299539171,4.699942467887321,0.0,0.0,0.0,0.0,43.0013
75,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,217.0,2.853540092165898,18.9053552697795,0.0,0.0,0.0,0.0,138.696
79,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,217.0,2.447152995391705,16.988431611053105,0.0,0.0,0.0,0.0,158.354
92,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,217.0,3.5651179723502304,14.695396965685331,0.0,0.0,0.0,0.0,74.5356
94,217.0,0.0006294930875576037,0.006541813955963799,0.0,0.0,0.0,0.0,0.0683
95,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,217.0,5.9126382488479265,20.166798974767143,0.0,0.0,0.0,0.0,130.881
97,217.0,0.843764055299539,7.24801350693813,0.0,0.0,0.0,0.0,70.1331
98,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,217.0,0.29126728110599076,1.129268222488646,0.0,0.0,0.0,0.0,5.4605
104,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,217.0,66.85816175115208,19.264000710319436,23.3036,47.6071,78.2523,78.2523,116.875
106,433.0,5.914527020785219,6.770619082219406,0.0,0.7492,0.7492,10.0,20.0
107,217.0,368.6574239631337,36.86447240901935,175.184,350.367,388.152,388.152,447.0
108,217.0,196.46836543778807,29.702657558204407,91.2653,166.5,220.478,220.478,256.5
109,434.0,115.37158064516129,84.33724037739633,0.0,0.0,117.078,207.912,271.172
110,217.0,195.12315806451608,32.84715447775502,86.2283,172.457,190.062,227.352,227.352
111,217.0,381.07519354838706,53.12182182118056,167.392,327.415,418.598,418.598,495.313
112,433.0,94.20104480369515,86.34285122325842,0.0,26.3157,35.2537,185.257,280.0
113,434.0,196.44465299539172,148.44619693518516,10.0,30.0,144.5475,359.968,417.75
114,434.0,544.1778940092166,231.48420589808256,100.0,300.0,466.61,828.054,968.25
115,217.0,462.4728110599079,56.67406653674463,201.543,403.087,509.83,509.83,560.25
